tokens:
  名詞 	 ログアウト
  助動詞 	 た
  名詞 	 婚姻
  名詞 	 率
  助詞 	 は
  名詞 	 1981
  名詞 	 年
  助詞 	 の
  名詞 	 1
  名詞 	 ,
  名詞 	 000
  名詞 	 人
  助詞 	 に対して
  名詞 	 71
  名詞 	 %
  助詞 	 から
  名詞 	 2002
  名詞 	 年
  助詞 	 まで
  名詞 	 低下
  動詞 	 し
  動詞 	 続け
  助詞 	 て
  動詞 	 い
  助動詞 	 た
  助詞 	 が
  記号 	 、
  名詞 	 2003
  名詞 	 年
  助詞 	 に
  助詞 	 は
  副詞 	 わずか
  助詞 	 に
  名詞 	 増加
  動詞 	 し
  助詞 	 て
  名詞 	 61
  名詞 	 %
  助詞 	 と
  動詞 	 なっ
  助動詞 	 た
  助詞 	 ものの
  記号 	 、
  名詞 	 2004
  名詞 	 年
  記号 	 、
  副詞 	 再び
  名詞 	 低下
  動詞 	 し
  助詞 	 て
  名詞 	 51
  名詞 	 %
  助詞 	 と
  動詞 	 なっ
  助動詞 	 た
  名詞 	 [
  名詞 	 24
  名詞 	 ]
  接続詞 	 一方
  助詞 	 で
  名詞 	 離婚
  名詞 	 率
  助詞 	 は
  名詞 	 増加
  動詞 	 し
  助詞 	 て
  動詞 	 おり
  記号 	 、
  名詞 	 1991
  名詞 	 年
  助詞 	 の
  名詞 	 時点
  助詞 	 で
  名詞 	 1
  名詞 	 ,
  名詞 	 000
  名詞 	 組
  助詞 	 に対して
  名詞 	 191
  名詞 	 .
  名詞 	 12
  名詞 	 件
  助動詞 	 で
  助動詞 	 あっ
  助動詞 	 た
  助詞 	 が
  記号 	 、
  名詞 	 2004
  名詞 	 年
  助詞 	 に
  助詞 	 は
  名詞 	 1
  名詞 	 ,
  名詞 	 000
  名詞 	 組
  助詞 	 に対して
  名詞 	 239
  名詞 	 .
  名詞 	 5
  名詞 	 組
  助詞 	 と
  動詞 	 なっ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 24
  名詞 	 ]
  名詞 	 ギリシャ
  名詞 	 人
  助詞 	 の
  副詞 	 ほぼ
  名詞 	 3
  名詞 	 分の
  名詞 	 2
  助詞 	 が
  名詞 	 市街地
  助詞 	 に
  名詞 	 居住
  動詞 	 し
  助詞 	 て
  動詞 	 おり
  記号 	 、
  名詞 	 2001
  名詞 	 年
  助詞 	 の
  名詞 	 ギリシャ
  名詞 	 最大
  名詞 	 自治体
  助詞 	 は
  名詞 	 アテネ
  記号 	 、
  名詞 	 テッサロニキ
  記号 	 、
  名詞 	 ピレウス
  記号 	 、
  名詞 	 パ
  名詞 	 トラ
  記号 	 、
  名詞 	 イラク
  名詞 	 リオン
  記号 	 、
  名詞 	 ラリサ
  記号 	 、
  名詞 	 ヴォロス
  名詞 	 [
  名詞 	 26
  名詞 	 ]
  助動詞 	 で
  助動詞 	 あっ
  助動詞 	 た
  名詞 	 民族
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 ギリシャ
  名詞 	 人
  助詞 	 が
  名詞 	 98
  名詞 	 %、
  名詞 	 ほか
  助詞 	 に
  名詞 	 アルーマニア
  名詞 	 人
  記号 	 、
  名詞 	 トルコ
  名詞 	 系
  記号 	 、
  名詞 	 ユダヤ
  名詞 	 系
  記号 	 、
  名詞 	 アルバニア
  名詞 	 人
  名詞 	 言語
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  連体詞 	 主たる
  名詞 	 言語
  助詞 	 は
  名詞 	 ギリシア
  名詞 	 語
  助動詞 	 で
  助動詞 	 あり
  記号 	 、
  名詞 	 北部
  助詞 	 と
  名詞 	 南部
  助詞 	 と
  助詞 	 で
  名詞 	 方言
  助詞 	 が
  動詞 	 ある
  名詞 	 北方
  名詞 	 国境
  助詞 	 で
  助詞 	 は
  名詞 	 スラヴ
  名詞 	 諸語
  名詞 	 話者
  記号 	 （
  名詞 	 英語
  名詞 	 版
  記号 	 ）
  助詞 	 も
  動詞 	 いる
  名詞 	 人名
  記号 	 ・
  名詞 	 婚姻
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 ギリシャ
  名詞 	 人
  助詞 	 は
  名詞 	 長男
  助詞 	 に
  名詞 	 父方
  助詞 	 の
  名詞 	 祖父
  助詞 	 の
  名詞 	 名
  助詞 	 を
  動詞 	 つける
  助詞 	 など
  助詞 	 の
  名詞 	 習慣
  助詞 	 が
  動詞 	 ある
  助詞 	 が
  記号 	 、
  名詞 	 姓
  助詞 	 が
  名詞 	 普及
  動詞 	 し
  助動詞 	 た
  名詞 	 の
  助詞 	 は
  記号 	 、
  名詞 	 有力
  名詞 	 貴族
  助詞 	 が
  名詞 	 成長
  動詞 	 し
  助詞 	 て
  動詞 	 き
  助動詞 	 た
  名詞 	 9
  名詞 	 世紀
  助詞 	 の
  名詞 	 東
  名詞 	 ローマ帝国
  名詞 	 時代
  名詞 	 以降
  助詞 	 の
  名詞 	 こと
  助動詞 	 で
  助動詞 	 ある
  名詞 	 婚姻
  助詞 	 の
  名詞 	 際
  助詞 	 に
  名詞 	 姓
  助詞 	 が
  動詞 	 変わる
  名詞 	 こと
  助詞 	 は
  形容詞 	 ない
  記号 	 （
  名詞 	 夫婦
  名詞 	 別姓
  記号 	 ）
  助詞 	 が
  記号 	 、
  名詞 	 社会
  名詞 	 的
  助動詞 	 な
  名詞 	 関係
  助詞 	 において
  助詞 	 は
  記号 	 、
  名詞 	 配偶
  名詞 	 者
  助詞 	 が
  名詞 	 同意
  動詞 	 し
  助動詞 	 た
  名詞 	 場合
  助詞 	 のみ
  名詞 	 配偶
  名詞 	 者
  助詞 	 の
  名詞 	 姓
  助詞 	 を
  動詞 	 用いる
  記号 	 、
  接続詞 	 あるいは
  連体詞 	 その
  名詞 	 姓
  助詞 	 に
  名詞 	 自己
  助詞 	 の
  名詞 	 姓
  助詞 	 を
  名詞 	 付加
  動詞 	 し
  助詞 	 て
  名詞 	 使用
  動詞 	 する
  名詞 	 こと
  助詞 	 が
  動詞 	 認め
  動詞 	 られ
  助詞 	 て
  動詞 	 いる
  名詞 	 宗教
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  連体詞 	 主たる
  名詞 	 宗教
  助詞 	 は
  記号 	 、
  名詞 	 キリスト
  名詞 	 教
  名詞 	 正教会
  助詞 	 に
  動詞 	 属する
  名詞 	 アテネ
  接頭詞 	 大
  名詞 	 主教
  助詞 	 の
  名詞 	 管掌
  名詞 	 下
  助詞 	 に
  動詞 	 ある
  名詞 	 ギリシャ
  名詞 	 正教会
  助動詞 	 で
  助動詞 	 ある
  接続詞 	 ただし
  記号 	 、
  名詞 	 クレタ
  名詞 	 島
  助詞 	 と
  名詞 	 アトス
  名詞 	 山
  助詞 	 だけ
  助詞 	 は
  名詞 	 コンスタンディヌーポリ
  接頭詞 	 総
  名詞 	 主教
  名詞 	 庁
  助詞 	 の
  名詞 	 管轄
  名詞 	 下
  助詞 	 に
  動詞 	 ある
  名詞 	 少数
  名詞 	 派
  助詞 	 として
  助詞 	 は
  名詞 	 イスラム教
  助詞 	 や
  名詞 	 カトリック
  助詞 	 の
  名詞 	 ほか
  記号 	 、
  名詞 	 ネオペイガニズム
  名詞 	 運動
  助詞 	 の
  名詞 	 ひとつ
  助詞 	 として
  名詞 	 古代
  名詞 	 ギリシア
  名詞 	 神話
  助詞 	 の
  名詞 	 神
  記号 	 々
  助詞 	 を
  名詞 	 信仰
  動詞 	 する
  記号 	 「
  名詞 	 ギリシア
  名詞 	 多神教
  名詞 	 復興
  名詞 	 運動
  記号 	 （
  名詞 	 英語
  名詞 	 版
  記号 	 ）
  記号 	 」
  助詞 	 が
  名詞 	 存在
  動詞 	 する
  名詞 	 教育
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 保健
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 平均
  名詞 	 寿命
  助詞 	 は
  名詞 	 81
  名詞 	 .
  名詞 	 4
  名詞 	 歳
  名詞 	 [
  名詞 	 29
  名詞 	 ]
  副詞 	 かつて
  助詞 	 は
  名詞 	 ユニバーサル
  名詞 	 ヘルスケア
  助詞 	 が
  名詞 	 実現
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 い
  助動詞 	 た
  助詞 	 が
  記号 	 、
  名詞 	 国家
  名詞 	 経済
  名詞 	 破綻
  助詞 	 の
  名詞 	 ため
  名詞 	 2013
  名詞 	 年
  助詞 	 に
  助詞 	 は
  名詞 	 加入
  名詞 	 率
  名詞 	 79
  名詞 	 .
  名詞 	 9
  名詞 	 %
  助詞 	 に
  名詞 	 転落
  動詞 	 し
  記号 	 、
  名詞 	 長期
  名詞 	 失業
  名詞 	 者
  助詞 	 や
  名詞 	 保険
  助詞 	 に
  名詞 	 加入
  動詞 	 し
  助動詞 	 ない
  名詞 	 自営業
  名詞 	 者
  助詞 	 が
  名詞 	 発生
  動詞 	 し
  助動詞 	 た
  名詞 	 [
  名詞 	 29
  名詞 	 ]
  名詞 	 医療
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 社会
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 国外
  助詞 	 へ
  助詞 	 の
  名詞 	 移民
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 19
  名詞 	 世紀
  名詞 	 末
  助詞 	 から
  名詞 	 20
  名詞 	 世紀
  助詞 	 を通じて
  記号 	 、
  名詞 	 何
  名詞 	 百
  名詞 	 万
  名詞 	 人
  助詞 	 も
  助詞 	 の
  名詞 	 ギリシャ
  名詞 	 人
  助詞 	 が
  名詞 	 アメリカ合衆国
  記号 	 、
  名詞 	 オーストラリア
  記号 	 、
  名詞 	 カナダ
  記号 	 、
  名詞 	 イギリス
  記号 	 、
  名詞 	 ドイツ
  助詞 	 など
  助詞 	 へ
  名詞 	 移住
  動詞 	 し
  記号 	 、
  名詞 	 各地
  助詞 	 で
  名詞 	 ギリシャ
  名詞 	 移民
  名詞 	 ら
  助詞 	 は
  名詞 	 成功
  助詞 	 を
  動詞 	 収め
  助動詞 	 た
  副詞 	 特に
  名詞 	 オーストラリア
  助詞 	 の
  名詞 	 メルボルン
  助詞 	 に
  助詞 	 は
  記号 	 、
  名詞 	 ギリシャ
  名詞 	 人
  名詞 	 移民
  助詞 	 が
  形容詞 	 多く
  記号 	 、
  連体詞 	 その
  名詞 	 数
  助詞 	 は
  名詞 	 ギリシャ
  名詞 	 国内
  助詞 	 の
  名詞 	 アテネ
  記号 	 （
  名詞 	 75
  名詞 	 万
  名詞 	 人
  記号 	 ）
  記号 	 、
  名詞 	 テッサロニキ
  記号 	 （
  名詞 	 32
  名詞 	 万
  名詞 	 人
  記号 	 ）
  助詞 	 に
  動詞 	 次ぐ
  名詞 	 [
  名詞 	 30
  名詞 	 ]
  連体詞 	 この
  名詞 	 海外
  名詞 	 移住
  名詞 	 傾向
  助詞 	 は
  名詞 	 1980
  名詞 	 年代
  名詞 	 以降
  記号 	 、
  名詞 	 ギリシャ
  名詞 	 経済
  助詞 	 の
  名詞 	 重要
  助動詞 	 な
  名詞 	 改善
  助詞 	 の
  名詞 	 あと
  動詞 	 収まり
  助詞 	 つつ
  動詞 	 あっ
  助動詞 	 た
  助詞 	 が
  記号 	 、
  名詞 	 2010
  名詞 	 年
  助詞 	 から
  助詞 	 の
  名詞 	 ギリシャ
  助詞 	 の
  名詞 	 経済
  名詞 	 危機
  助詞 	 により
  記号 	 、
  副詞 	 再び
  名詞 	 海外
  助詞 	 へ
  助詞 	 の
  名詞 	 移民
  助詞 	 が
  動詞 	 増え
  助詞 	 て
  動詞 	 いる
  名詞 	 治安
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 ギリシャ
  助詞 	 は
  名詞 	 欧州
  助詞 	 で
  副詞 	 かつて
  記号 	 「
  副詞 	 比較的
  名詞 	 治安
  助詞 	 の
  名詞 	 良好
  助動詞 	 な
  名詞 	 国
  記号 	 」
  助詞 	 と
  動詞 	 評さ
  動詞 	 れ
  助詞 	 て
  動詞 	 い
  助動詞 	 た
  助詞 	 が
  記号 	 、
  名詞 	 経済
  名詞 	 状況
  助詞 	 の
  名詞 	 悪化
  助詞 	 や
  名詞 	 失業
  名詞 	 率
  助詞 	 の
  名詞 	 増加
  名詞 	 等
  助詞 	 から
  名詞 	 労働
  名詞 	 組合
  名詞 	 等
  助詞 	 による
  名詞 	 デモ
  動詞 	 ならび
  名詞 	 ストライキ
  助詞 	 が
  名詞 	 多発
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  名詞 	 他
  記号 	 、
  名詞 	 不法
  名詞 	 移民
  名詞 	 等
  助詞 	 による
  名詞 	 犯罪
  助詞 	 も
  名詞 	 発生
  動詞 	 し
  助詞 	 て
  動詞 	 おり
  記号 	 、
  名詞 	 非常
  助詞 	 に
  名詞 	 不安定
  助動詞 	 な
  名詞 	 状況
  助詞 	 に
  動詞 	 陥っ
  助詞 	 て
  動詞 	 いる
  副詞 	 特に
  名詞 	 都市
  名詞 	 部
  助詞 	 の
  名詞 	 地下鉄
  助詞 	 や
  名詞 	 観光
  名詞 	 地
  助詞 	 で
  助詞 	 は
  記号 	 、
  名詞 	 スリ
  助詞 	 など
  助詞 	 の
  名詞 	 被害
  助詞 	 が
  名詞 	 多発
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  名詞 	 こと
  助詞 	 や
  名詞 	 荷物
  助詞 	 の
  名詞 	 窃盗
  記号 	 （
  名詞 	 液体
  助詞 	 を
  動詞 	 かけ
  助詞 	 たり
  名詞 	 声
  助詞 	 を
  動詞 	 かけ
  助詞 	 て
  名詞 	 気
  助詞 	 を
  動詞 	 そらせ
  記号 	 、
  名詞 	 荷物
  助詞 	 を
  動詞 	 盗む
  名詞 	 手口
  記号 	 ）
  名詞 	 事案
  助詞 	 の
  形容詞 	 多
  名詞 	 さ
  助詞 	 から
  名詞 	 最大限
  助詞 	 の
  名詞 	 注意
  助詞 	 が
  名詞 	 必要
  助詞 	 と
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 治安
  名詞 	 維持
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 現地
  名詞 	 警察
  記号 	 （
  名詞 	 英語
  名詞 	 版
  記号 	 ）
  助詞 	 を
  名詞 	 はじめ
  記号 	 、
  名詞 	 憲兵
  名詞 	 隊
  助詞 	 と
  名詞 	 国境警備隊
  動詞 	 ならび
  名詞 	 特別
  名詞 	 警察
  記号 	 （
  名詞 	 英語
  名詞 	 版
  記号 	 ）
  記号 	 （
  副詞 	 かつて
  助詞 	 は
  名詞 	 都市
  名詞 	 警察
  記号 	 （
  名詞 	 ギリシア
  名詞 	 語
  名詞 	 版
  記号 	 、
  名詞 	 英語
  名詞 	 版
  記号 	 ）
  助詞 	 が
  名詞 	 担当
  記号 	 ）
  助詞 	 が
  名詞 	 主体
  助詞 	 と
  動詞 	 なっ
  助詞 	 て
  動詞 	 いる
  名詞 	 人権
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 国内
  助詞 	 へ
  助詞 	 の
  名詞 	 移民
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 ギリシャ
  名詞 	 国内
  助詞 	 に
  助詞 	 は
  名詞 	 外国
  名詞 	 人
  助詞 	 の
  名詞 	 移民
  助詞 	 も
  動詞 	 いる
  助詞 	 が
  記号 	 、
  名詞 	 彼ら
  助詞 	 は
  名詞 	 正式
  助動詞 	 な
  名詞 	 書類
  助詞 	 を
  動詞 	 持た
  助動詞 	 ない
  名詞 	 不法
  名詞 	 移民
  助詞 	 が
  形容詞 	 多い
  名詞 	 ギリシャ
  助詞 	 で
  助詞 	 は
  名詞 	 人種
  名詞 	 差別
  名詞 	 的
  助動詞 	 な
  名詞 	 攻撃
  助詞 	 に関して
  名詞 	 有罪
  名詞 	 判決
  助詞 	 が
  動詞 	 下る
  名詞 	 こと
  助詞 	 は
  副詞 	 ほとんど
  形容詞 	 なく
  記号 	 、
  名詞 	 人種
  名詞 	 差別
  助詞 	 が
  名詞 	 横行
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  名詞 	 ギリシャ
  助詞 	 の
  名詞 	 経済
  名詞 	 危機
  助詞 	 が
  動詞 	 あっ
  助詞 	 て
  助詞 	 から
  記号 	 、
  名詞 	 彼ら
  名詞 	 移民
  助詞 	 は
  名詞 	 ギリシャ
  名詞 	 人
  助詞 	 の
  名詞 	 不満
  助詞 	 の
  名詞 	 はけ口
  助詞 	 に
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 おり
  記号 	 、
  副詞 	 特に
  名詞 	 攻撃
  助詞 	 に
  動詞 	 さらさ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 31
  名詞 	 ]
  名詞 	 ギリシャ
  名詞 	 当局
  助詞 	 も
  名詞 	 不法
  名詞 	 移民
  助詞 	 に
  助詞 	 は
  形容詞 	 厳しい
  名詞 	 態度
  助詞 	 で
  動詞 	 当たっ
  助詞 	 て
  動詞 	 おり
  記号 	 、
  名詞 	 国連
  名詞 	 難民
  名詞 	 高等
  名詞 	 弁務
  名詞 	 官
  名詞 	 事務所
  助詞 	 に
  動詞 	 よれ
  助詞 	 ば
  記号 	 、
  名詞 	 ギリシャ
  助詞 	 の
  名詞 	 警察
  助詞 	 は
  名詞 	 海上
  助詞 	 で
  名詞 	 不法
  名詞 	 入国
  助詞 	 を
  動詞 	 する
  名詞 	 難民
  助詞 	 を
  動詞 	 乗せ
  助動詞 	 た
  名詞 	 船
  助詞 	 を
  動詞 	 見かけ
  助動詞 	 た
  名詞 	 場合
  記号 	 、
  名詞 	 移民
  助詞 	 を
  動詞 	 乗せ
  助動詞 	 た
  名詞 	 船
  助詞 	 を
  動詞 	 引っ張っ
  助詞 	 て
  名詞 	 トルコ
  助詞 	 など
  助詞 	 に
  記号 	 「
  動詞 	 押し戻す
  記号 	 」
  名詞 	 行為
  助詞 	 が
  動詞 	 行わ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  助詞 	 という
  名詞 	 これ
  助詞 	 により
  名詞 	 船
  助詞 	 が
  名詞 	 転覆
  記号 	 、
  名詞 	 死亡
  動詞 	 する
  名詞 	 者
  助詞 	 も
  動詞 	 出
  助詞 	 て
  動詞 	 いる
  助詞 	 が
  記号 	 、
  名詞 	 ギリシャ
  助詞 	 は
  名詞 	 これ
  助詞 	 を
  名詞 	 否定
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  接続詞 	 また
  記号 	 、
  名詞 	 不法
  名詞 	 移民
  助詞 	 を
  名詞 	 収容
  動詞 	 する
  名詞 	 施設
  助詞 	 は
  名詞 	 過密
  名詞 	 状態
  助詞 	 で
  名詞 	 不衛生
  助動詞 	 で
  助動詞 	 あり
  記号 	 、
  副詞 	 さらに
  名詞 	 勾留
  名詞 	 期限
  助詞 	 は
  接頭詞 	 無
  名詞 	 期限
  助詞 	 と
  動詞 	 なっ
  助詞 	 て
  動詞 	 いる
  名詞 	 [
  名詞 	 32
  名詞 	 ]
  名詞 	 メディア
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 文化
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 紀元前
  助詞 	 から
  名詞 	 ギリシャ
  助詞 	 は
  名詞 	 哲学
  助詞 	 や
  名詞 	 文化
  記号 	 、
  名詞 	 芸術
  助詞 	 に
  名詞 	 さまざま
  助動詞 	 な
  名詞 	 影響
  助詞 	 を
  動詞 	 与え
  助詞 	 て
  動詞 	 き
  助動詞 	 た
  連体詞 	 その
  名詞 	 影響
  名詞 	 力
  助詞 	 の
  形容詞 	 大き
  名詞 	 さ
  助詞 	 から
  記号 	 、
  名詞 	 ギリシャ
  助詞 	 は
  記号 	 「
  名詞 	 ヨーロッパ
  名詞 	 文化
  助詞 	 の
  名詞 	 ゆり
  名詞 	 かご
  記号 	 」
  助詞 	 と
  動詞 	 称さ
  動詞 	 れる
  名詞 	 こと
  助詞 	 も
  動詞 	 ある
  名詞 	 食
  名詞 	 文化
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 ギリシャ
  助詞 	 の
  名詞 	 料理
  助詞 	 は
  名詞 	 地中海
  名詞 	 料理
  助動詞 	 で
  助動詞 	 ある
  助詞 	 が
  記号 	 、
  名詞 	 西方
  助詞 	 の
  名詞 	 イタリア
  名詞 	 料理
  助詞 	 のみ
  動詞 	 なら
  助動詞 	 ず
  名詞 	 トルコ
  名詞 	 料理
  助詞 	 や
  名詞 	 レバノン
  名詞 	 料理
  助詞 	 など
  助詞 	 の
  名詞 	 東方
  助詞 	 の
  名詞 	 地中海
  名詞 	 料理
  助詞 	 と
  助詞 	 の
  名詞 	 共通
  名詞 	 点
  助詞 	 も
  形容詞 	 多い
  名詞 	 これ
  助詞 	 は
  記号 	 、
  名詞 	 東
  名詞 	 ローマ帝国
  助詞 	 や
  名詞 	 オスマン
  名詞 	 帝国
  助詞 	 といった
  名詞 	 歴史
  助詞 	 に
  名詞 	 由来
  動詞 	 する
  名詞 	 新大陸
  助詞 	 に
  名詞 	 原産地
  助詞 	 と
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  名詞 	 以降
  名詞 	 食
  助詞 	 として
  動詞 	 加え
  動詞 	 られる
  名詞 	 トマト
  助詞 	 や
  名詞 	 他
  助詞 	 の
  名詞 	 野菜
  助詞 	 を
  名詞 	 多彩
  助詞 	 に
  名詞 	 使用
  動詞 	 する
  名詞 	 点
  助詞 	 が
  名詞 	 特徴
  助詞 	 と
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  助詞 	 が
  名詞 	 [
  名詞 	 誰
  助詞 	 によって
  名詞 	 ?]、
  名詞 	 これ
  助詞 	 は
  名詞 	 一定
  名詞 	 期間
  名詞 	 肉食
  助詞 	 を
  動詞 	 禁じ
  動詞 	 られる
  助詞 	 という
  名詞 	 ギリシャ
  名詞 	 正教会
  助詞 	 における
  名詞 	 戒律
  助詞 	 に
  動詞 	 ある
  接続詞 	 また
  名詞 	 地中海
  助詞 	 に
  動詞 	 面する
  名詞 	 ため
  記号 	 、
  名詞 	 タコ
  助詞 	 や
  名詞 	 イカ
  記号 	 、
  接続詞 	 そして
  名詞 	 魚介
  名詞 	 類
  助詞 	 など
  助詞 	 も
  名詞 	 使用
  動詞 	 する
  名詞 	 ギリシャ
  助詞 	 の
  名詞 	 代表
  名詞 	 的
  助動詞 	 な
  名詞 	 料理
  助詞 	 として
  記号 	 、
  名詞 	 タラモサラタ
  助詞 	 や
  名詞 	 ムサカ
  記号 	 、
  名詞 	 ピキリア
  記号 	 、
  名詞 	 ドルマ
  助詞 	 など
  助詞 	 が
  動詞 	 ある
  名詞 	 ギリシャ
  名詞 	 料理
  助詞 	 は
  名詞 	 2010
  名詞 	 年
  助詞 	 に
  記号 	 、
  名詞 	 イタリア
  名詞 	 料理
  助詞 	 や
  名詞 	 スペイン
  名詞 	 料理
  記号 	 、
  名詞 	 モロッコ
  名詞 	 料理
  助詞 	 とともに
  記号 	 『
  名詞 	 地中海
  助詞 	 の
  名詞 	 食事
  記号 	 』
  助詞 	 として
  名詞 	 ユネスコ
  助詞 	 の
  名詞 	 無形
  名詞 	 文化
  名詞 	 遺産
  助詞 	 に
  名詞 	 登録
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  名詞 	 文学
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 哲学
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 音楽
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 映画
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 建築
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 美術
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 世界
  名詞 	 遺産
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 ギリシャ
  名詞 	 国内
  助詞 	 に
  助詞 	 は
  記号 	 、
  名詞 	 ユネスコ
  助詞 	 の
  名詞 	 世界
  名詞 	 遺産
  名詞 	 リスト
  助詞 	 に
  名詞 	 登録
  動詞 	 さ
  動詞 	 れ
  助動詞 	 た
  名詞 	 文化
  名詞 	 遺産
  助詞 	 は
  名詞 	 15
  名詞 	 件
  記号 	 、
  名詞 	 複合
  名詞 	 遺産
  助詞 	 は
  名詞 	 2
  名詞 	 件
  助詞 	 の
  接頭詞 	 全
  名詞 	 17
  名詞 	 件
  助詞 	 が
  名詞 	 存在
  動詞 	 する
  名詞 	 祝祭日
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 スポーツ
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 オリンピック
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 ギリシャ
  助詞 	 は
  記号 	 『
  名詞 	 オリンピック
  名詞 	 発祥
  助詞 	 の
  名詞 	 地
  記号 	 』
  助動詞 	 で
  助動詞 	 ある
  連体詞 	 その
  名詞 	 ため
  名詞 	 オリンピック
  助詞 	 の
  名詞 	 ギリシャ
  名詞 	 選手
  名詞 	 団
  助詞 	 は
  記号 	 、
  名詞 	 近代
  名詞 	 オリンピック
  助詞 	 の
  名詞 	 開会
  名詞 	 式
  助詞 	 で
  副詞 	 常に
  名詞 	 1
  名詞 	 番目
  助詞 	 の
  名詞 	 入場
  名詞 	 国
  助詞 	 と
  動詞 	 なっ
  助詞 	 て
  動詞 	 いる
  名詞 	 ギリシャ
  助詞 	 で
  助詞 	 は
  名詞 	 これ
  助詞 	 まで
  助詞 	 に
  接頭詞 	 第
  名詞 	 1
  名詞 	 回
  名詞 	 大会
  助詞 	 の
  名詞 	 1896
  名詞 	 年
  名詞 	 アテネ
  名詞 	 オリンピック
  助詞 	 と
  記号 	 、
  名詞 	 108
  名詞 	 年
  名詞 	 ぶり
  名詞 	 2
  名詞 	 度目
  助詞 	 と
  動詞 	 なる
  名詞 	 2004
  名詞 	 年
  名詞 	 アテネ
  名詞 	 オリンピック
  助詞 	 が
  名詞 	 開催
  動詞 	 さ
  動詞 	 れ
  助詞 	 て
  動詞 	 いる
  接続詞 	 なお
  記号 	 、
  名詞 	 冬季
  名詞 	 オリンピック
  助詞 	 の
  名詞 	 開催
  名詞 	 経験
  助詞 	 は
  形容詞 	 ない
  名詞 	 サッカー
  名詞 	 [
  名詞 	 編集
  名詞 	 ]
  名詞 	 ギリシャ
  名詞 	 国内
  助詞 	 で
  助詞 	 は
  名詞 	 サッカー
  助詞 	 が
  名詞 	 圧倒的
  助詞 	 に
  名詞 	 1
  名詞 	 番
  名詞 	 人気
  助詞 	 の
  名詞 	 スポーツ
  助詞 	 と
  動詞 	 なっ
  助詞 	 て
  動詞 	 おり
  記号 	 、
  名詞 	 1927
  名詞 	 年
  助詞 	 に
  名詞 	 サッカー
  名詞 	 リーグ
  助詞 	 の
  名詞 	 ギリシャ
  記号 	 ・
  名詞 	 スーパー
  名詞 	 リーグ
  助詞 	 が
  名詞 	 創設
  動詞 	 さ
  動詞 	 れ
  助動詞 	 た
  接頭詞 	 同
  名詞 	 リーグ
  助詞 	 は
  名詞 	 オリンピア
  名詞 	 コス
  記号 	 、
  名詞 	 パナシナイコス
  記号 	 、
  名詞 	 AEK
  名詞 	 アテネ
  助詞 	 の
  名詞 	 ビッグスリー
  助詞 	 が
  記号 	 、
  名詞 	 優勝
  名詞 	 タイトル
  助詞 	 の
  名詞 	 殆ど
  助詞 	 を
  名詞 	 独占
  動詞 	 し
  助詞 	 て
  動詞 	 いる
  記号 	 （
